Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
S4B3040_R2	S4B3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138775.0	0.0	38-301	55.0	16.923076923076923	300.9092199603675	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S4B5565_R1	S4B5565_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116600.0	0.0	37-301	56.0	16.2958833619211	300.6279931389365	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S4B5565_R2	S4B5565_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116600.0	0.0	37-301	55.0	18.749571183533448	300.8243910806175	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5A07_R1	S5A07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	269376.0	0.0	39-301	55.0	9.921448087431695	300.7189950106914	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S5A07_R2	S5A07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	269376.0	0.0	39-301	55.0	13.67085412211927	300.9013943335709	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S5A1522_R1	S5A1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	187020.0	0.0	35-301	56.0	11.422307774569566	300.7691423377179	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S5A1522_R2	S5A1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	187020.0	0.0	38-301	56.0	14.689872740883327	300.8870922895947	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5A3040_R1	S5A3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171455.0	0.0	39-301	55.0	12.639468082004024	300.7696363477297	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S5A3040_R2	S5A3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171455.0	0.0	38-301	55.0	15.779067393776794	300.9185267271296	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5A5565_R1	S5A5565_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140064.0	0.0	37-301	55.0	14.08641763765136	300.4085632282385	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S5A5565_R2	S5A5565_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140064.0	0.0	37-301	55.0	17.604809230066255	300.547406899703	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B07_R1	S5B07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116514.0	0.0	35-301	56.0	14.83426884322914	299.9339993477179	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S5B07_R2	S5B07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116514.0	0.0	35-301	55.0	17.528365689960005	300.1364814528726	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B1522_R1	S5B1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138544.0	0.0	35-301	56.0	13.76530199792124	298.8611127150941	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S5B1522_R2	S5B1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138544.0	0.0	35-301	55.0	15.428311583323708	299.0413081764638	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B3040_R1	S5B3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	213852.0	0.0	35-301	55.0	14.510034977461048	299.92895553934494	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
S5B3040_R2	S5B3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	213852.0	0.0	35-301	55.0	15.844602809419598	300.1555421506462	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B5060_R1	S5B5060_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	397256.0	0.0	36-301	55.0	10.873844573776104	300.1701900034235	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
S5B5060_R2	S5B5060_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	397256.0	0.0	36-301	55.0	12.886148982016636	300.3673475038766	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S6A07_R1	S6A07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98165.0	0.0	36-301	56.0	15.755106198747008	300.6853053532318	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S6A07_R2	S6A07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98165.0	0.0	36-301	56.0	18.325268680283198	300.89926144756276	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6A1522_R1	S6A1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116260.0	0.0	37-301	56.0	15.723378634095992	300.6749526922415	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
S6A1522_R2	S6A1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116260.0	0.0	37-301	56.0	17.776535351797694	300.9109753999656	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6A3040_R1	S6A3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66848.0	0.0	36-301	55.0	17.448539971278123	300.16015438008617	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S6A3040_R2	S6A3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66848.0	0.0	37-301	55.0	20.585507419818093	300.325709071326	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S6B07_R1	S6B07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	267951.0	0.0	35-301	56.0	11.473739601643585	300.46233079928794	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S6B07_R2	S6B07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	267951.0	0.0	35-301	56.0	13.812226862374091	300.68495359226125	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6B1522_R1	S6B1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	289360.0	0.0	35-301	56.0	11.327412220071881	300.498164915676	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S6B1522_R2	S6B1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	289360.0	0.0	35-301	56.0	13.349460879181644	300.72615081559303	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6B3040_R1	S6B3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	259866.0	0.0	35-301	56.0	13.091747285139263	300.5258941146591	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S6B3040_R2	S6B3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	259866.0	0.0	35-301	55.0	14.860351104030538	300.7577636166332	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A07_R1	S7A07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212596.0	0.0	35-301	56.0	13.328566859207136	300.4836403318971	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S7A07_R2	S7A07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212596.0	0.0	37-301	56.0	15.886470112325727	300.72908239101395	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A1522_R1	S7A1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155542.0	0.0	36-301	56.0	14.98566303635031	300.5104923429042	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S7A1522_R2	S7A1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155542.0	0.0	36-301	56.0	16.801892736367027	300.73956230471515	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A3040_R1	S7A3040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167694.0	0.0	35-301	56.0	15.152003053180197	300.5684878409484	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S7A3040_R2	S7A3040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167694.0	0.0	35-301	55.0	17.41445728529345	300.8126349183632	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A5060_R1	S7A5060_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101413.0	0.0	37-301	56.0	17.64073639474229	300.12546714918204	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
S7A5060_R2	S7A5060_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101413.0	0.0	37-301	55.0	19.599065208602447	300.34007474386914	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7B07_R1	S7B07_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89816.0	0.0	35-301	56.0	18.144873964549745	300.3140420415071	pass	warn	pass	pass	fail	pass	pass	warn	fail	fail	pass
S7B07_R2	S7B07_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89816.0	0.0	35-301	56.0	20.642201834862387	300.5609356907455	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7B1522_R1	S7B1522_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143533.0	0.0	36-301	56.0	15.950338946444372	300.03656302035074	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S7B1522_R2	S7B1522_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143533.0	0.0	36-301	56.0	17.584806281482308	300.311593849498	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7B5060_R1	S7B5060_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178257.0	0.0	35-301	55.0	13.341411557470394	300.54022562928805	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S7B5060_R2	S7B5060_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178257.0	0.0	35-301	55.0	16.067812203728323	300.7016779144718	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
