Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
S4B5565_1	S4B5565_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116473.0	0.0	227-301	55.0	11.934096314167233	285.1473388682356	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S4B5565_2	S4B5565_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116473.0	0.0	236-301	56.0	20.979969606689963	279.7447133670464	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5A07_1	S5A07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	269147.0	0.0	208-301	54.0	8.046903736619765	285.23643213559876	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S5A07_2	S5A07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	269147.0	0.0	207-301	56.0	16.798626772730145	279.75053781019295	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S5A1522_1	S5A1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186798.0	0.0	210-301	55.0	9.010267775886252	285.22066617415607	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S5A1522_2	S5A1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186798.0	0.0	206-301	56.0	17.21913510851294	279.75230998190557	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5A3040_1	S5A3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171346.0	0.0	206-301	55.0	10.210918258961401	285.15556826538113	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S5A3040_2	S5A3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171346.0	0.0	202-301	56.0	18.727603795828323	279.7490808072555	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S5A5565_1	S5A5565_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139778.0	0.0	237-301	55.0	10.191160268425646	284.801170427392	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S5A5565_2	S5A5565_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139778.0	0.0	216-301	56.0	18.542259869221194	279.801785688735	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B07_1	S5B07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115967.0	0.0	218-301	55.0	11.318737226969741	285.1288901152914	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
S5B07_2	S5B07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115967.0	0.0	207-301	56.0	20.417015185354455	279.53850664413153	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B1522_1	S5B1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137314.0	0.0	220-301	55.0	10.915857086677251	284.76921508367684	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B1522_2	S5B1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137314.0	0.0	205-301	56.0	18.883726349825945	279.21340868374676	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B3040_1	S5B3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212847.0	0.0	200-301	55.0	10.970321404576996	283.53923710458685	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B3040_2	S5B3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212847.0	0.0	200-301	56.0	18.780626459381622	278.8323020761392	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B5060_1	S5B5060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	396041.0	0.0	211-301	54.0	8.199908595322201	284.9609358627011	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S5B5060_2	S5B5060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	396041.0	0.0	206-301	56.0	14.860330117336337	279.6241550748534	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S6A07_1	S6A07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98069.0	0.0	215-301	56.0	11.645881981054156	285.1246367353598	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S6A07_2	S6A07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98069.0	0.0	207-301	57.0	20.83838929733147	279.73439109198625	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6A1522_1	S6A1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116192.0	0.0	223-301	55.0	11.511119526301295	285.17569195813826	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S6A1522_2	S6A1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116192.0	0.0	207-301	56.0	19.4376549160011	279.765164555219	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6A3040_1	S6A3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66635.0	0.0	228-301	54.0	12.670518496285736	284.86903279057555	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6A3040_2	S6A3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66635.0	0.0	207-301	56.0	21.472199294664964	279.7465896300743	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
S6B07_1	S6B07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	267476.0	0.0	207-301	55.0	8.924539024061971	285.05910810689556	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S6B07_2	S6B07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	267476.0	0.0	205-301	56.0	16.60634972857378	279.4943621109931	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6B1522_1	S6B1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	288972.0	0.0	210-301	55.0	8.695652173913043	285.11955483576264	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S6B1522_2	S6B1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	288972.0	0.0	205-301	56.0	14.975845410628018	279.55642761236385	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S6B3040_1	S6B3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	259553.0	0.0	211-301	55.0	10.272275797236018	285.10810508836346	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S6B3040_2	S6B3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	259553.0	0.0	207-301	56.0	16.886724484016753	279.6100526674706	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A07_1	S7A07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212271.0	0.0	211-301	55.0	10.463511266258697	285.042422186733	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S7A07_2	S7A07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212271.0	0.0	206-301	56.0	19.61030946290355	279.6416844505373	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A1522_1	S7A1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155328.0	0.0	211-301	55.0	11.343093325092706	285.1391635764318	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S7A1522_2	S7A1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155328.0	0.0	202-301	56.0	18.55814791924186	279.67291151627524	pass	fail	warn	pass	fail	pass	pass	warn	fail	fail	pass
S7A3040_1	S7A3040_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167529.0	0.0	211-301	55.0	11.717971216923637	285.145413629879	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S7A3040_2	S7A3040_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167529.0	0.0	203-301	56.0	19.490356893433376	279.75548114057864	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7A5060_1	S7A5060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101033.0	0.0	210-301	55.0	13.124424692922116	285.0328902437817	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S7A5060_2	S7A5060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101033.0	0.0	206-301	56.0	21.524650361762987	279.62974473686813	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7B07_1	S7B07_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89583.0	0.0	201-301	56.0	14.233727381311187	283.58305705323556	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
S7B07_2	S7B07_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89583.0	0.0	203-301	57.0	24.281392674949487	279.6272730317136	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7B1522_1	S7B1522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143014.0	0.0	210-301	55.0	11.897436614597172	285.1022277539262	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
S7B1522_2	S7B1522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143014.0	0.0	206-301	56.0	20.23857804131064	279.6005565888654	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
S7B5060_1	S7B5060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177986.0	0.0	211-301	55.0	9.835605047588013	285.14635982605375	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
S7B5060_2	S7B5060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177986.0	0.0	207-301	56.0	17.892980346768848	279.7821738788444	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
