Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
S3B3545_2	80.80817014853207	56.0	279.82329459352684	36.36363636363637	169593.0
S3B6070_1	94.17569738289737	54.0	285.1532044119508	36.36363636363637	932558.0
S3B6070_2	87.49779709321902	56.0	279.1472401716569	45.45454545454545	932558.0
S4B07_1	88.93492969759464	55.0	285.04411643020364	36.36363636363637	157107.0
S4B07_2	80.88054637921925	56.0	279.49817640206993	36.36363636363637	157107.0
S4B1522_1	88.25962660979712	55.0	285.0718927813066	36.36363636363637	108787.0
S4B1522_2	80.20351696434317	56.0	279.60870324579224	36.36363636363637	108787.0
S4B3040_1	88.71501611728479	55.0	285.0915908877848	36.36363636363637	138671.0
S4B3040_2	81.31765113109446	56.0	279.6538281255634	36.36363636363637	138671.0
S4B5565_1	88.06590368583277	55.0	285.1473388682356	36.36363636363637	116473.0
S4B5565_2	79.02003039331004	56.0	279.7447133670464	36.36363636363637	116473.0
S5A07_1	91.95309626338023	54.0	285.23643213559876	27.27272727272727	269147.0
S5A07_2	83.20137322726985	56.0	279.75053781019295	45.45454545454545	269147.0
S5A1522_1	90.98973222411375	55.0	285.22066617415607	27.27272727272727	186798.0
S5A1522_2	82.78086489148706	56.0	279.75230998190557	36.36363636363637	186798.0
S5A3040_1	89.7890817410386	55.0	285.15556826538113	36.36363636363637	171346.0
S5A3040_2	81.27239620417168	56.0	279.7490808072555	45.45454545454545	171346.0
S5A5565_1	89.80883973157435	55.0	284.801170427392	36.36363636363637	139778.0
S5A5565_2	81.4577401307788	56.0	279.801785688735	36.36363636363637	139778.0
S5B07_1	88.68126277303026	55.0	285.1288901152914	36.36363636363637	115967.0
S5B07_2	79.58298481464554	56.0	279.53850664413153	36.36363636363637	115967.0
S5B1522_1	89.08414291332275	55.0	284.76921508367684	27.27272727272727	137314.0
S5B1522_2	81.11627365017405	56.0	279.21340868374676	36.36363636363637	137314.0
S5B3040_1	89.02967859542301	55.0	283.53923710458685	27.27272727272727	212847.0
S5B3040_2	81.21937354061838	56.0	278.8323020761392	36.36363636363637	212847.0
S5B5060_1	91.8000914046778	54.0	284.9609358627011	27.27272727272727	396041.0
S5B5060_2	85.13966988266367	56.0	279.6241550748534	36.36363636363637	396041.0
S6A07_1	88.35411801894584	56.0	285.1246367353598	27.27272727272727	98069.0
S6A07_2	79.16161070266853	57.0	279.73439109198625	36.36363636363637	98069.0
S6A1522_1	88.4888804736987	55.0	285.17569195813826	27.27272727272727	116192.0
S6A1522_2	80.5623450839989	56.0	279.765164555219	36.36363636363637	116192.0
S6A3040_1	87.32948150371426	54.0	284.86903279057555	27.27272727272727	66635.0
S6A3040_2	78.52780070533504	56.0	279.7465896300743	45.45454545454545	66635.0
S6B07_1	91.07546097593803	55.0	285.05910810689556	27.27272727272727	267476.0
S6B07_2	83.39365027142622	56.0	279.4943621109931	36.36363636363637	267476.0
S6B1522_1	91.30434782608695	55.0	285.11955483576264	27.27272727272727	288972.0
S6B1522_2	85.02415458937199	56.0	279.55642761236385	36.36363636363637	288972.0
S6B3040_1	89.72772420276398	55.0	285.10810508836346	27.27272727272727	259553.0
S6B3040_2	83.11327551598325	56.0	279.6100526674706	36.36363636363637	259553.0
S7A07_1	89.53648873374131	55.0	285.042422186733	27.27272727272727	212271.0
S7A07_2	80.38969053709644	56.0	279.6416844505373	36.36363636363637	212271.0
S7A1522_1	88.65690667490729	55.0	285.1391635764318	27.27272727272727	155328.0
S7A1522_2	81.44185208075814	56.0	279.67291151627524	36.36363636363637	155328.0
S7A3040_1	88.28202878307636	55.0	285.145413629879	27.27272727272727	167529.0
S7A3040_2	80.50964310656663	56.0	279.75548114057864	36.36363636363637	167529.0
S7A5060_1	86.87557530707788	55.0	285.0328902437817	27.27272727272727	101033.0
S7A5060_2	78.47534963823702	56.0	279.62974473686813	36.36363636363637	101033.0
S7B07_1	85.76627261868882	56.0	283.58305705323556	27.27272727272727	89583.0
