id	SampleID	BioSample	ID	SRA	SampleName	Collection_date	Depth	site	elevation	Broad_scale_environmental_context	Local_scale_environmental_context	Environmental_medium	Latitude_and_Longitude	Geographic Location	Study_zone	Ecological_type	Parametros	Temperatura	Salinidad	pH	Redox mV	S-2	SO4
S1B07	S1B07	S1B07	RSP	S1B07		2023-09-28	0.15	1B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S1B2230	S1B2230	S1B2230	RSP	S1B2230		2023-09-28	16-30	1B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S1B3040	S1B3040	S1B3040	RSP	S1B3040		2023-09-28	31-45	1B						Mexico:Tabasco	Rio San Pedro	Fringe	si	30.9	794	6.69	1	7.09	550
S1B6575	S1B6575	S1B6575	RSP	S1B6575		2023-09-28	50-70	1B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S2A1727	S2A1727	S2A1727	RSP	S2A1727		2023-09-28	16-30	2A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S2A3545	S2A3545	S2A3545	RSP	S2A3545		2023-09-28	31-45	2A						Mexico:Tabasco	Rio San Pedro	Fringe	si 	32.2	741.6	7.3	113	0.12	545
S2A5060	S2A5060	S2A5060	RSP	S2A5060		2023-09-28	50-70	2A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S2B07	S2B07	S2B07	RSP	S2B07		2023-09-28	0.15	2B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S2B1522	S2B1522	S2B1522	RSP	S2B1522		2023-09-28	16-30	2B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S2B3040	S2B3040	S2B3040	RSP	S2B3040		2023-09-28	31-45	2B						Mexico:Tabasco	Rio San Pedro	Fringe	si	31.3	757.8	7.07	95	1.2	553
S2B5565	S2B5565	S2B5565	RSP	S2B5565		2023-09-28	50-70	2B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S3A07	S3A07	S3A07	RSP	S3A07		2023-09-28	0.15	3A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S3A1522	S3A1522	S3A1522	RSP	S3A1522		2023-09-28	16-30	3A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S3A3040	S3A3040	S3A3040	RSP	S3A3040		2023-09-28	31-45	3A						Mexico:Tabasco	Rio San Pedro	Fringe	si	32	818.2	6.71	-46	6.34	364
S3A6070	S3A6070	S3A6070	RSP	S3A6070		2023-09-28	50-70	3A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S3B510	S3B510	S3B510	RSP	S3B510		2023-09-28	0.15	3B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S3B2030	S3B2030	S3B2030	RSP	S3B2030		2023-09-28	16-30	3B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S3B3545	S3B3545	S3B3545	RSP	S3B3545		2023-09-28	31-45	3B						Mexico:Tabasco	Rio San Pedro	Fringe	si	32.1	767.9	6.91	15	2.14	495
S3B6070	S3B6070	S3B6070	RSP	S3B6070		2023-09-28	50-70	3B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S4B07	S4B07	S4B07	RSP	S4B07		2023-09-29	0.15	4B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S4B1522	S4B1522	S4B1522	RSP	S4B1522		2023-09-29	16-30	4B						Mexico:Tabasco	Rio San Pedro	Fringe	no						
