# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
PWY-6210	2499.416265144904	3485.971342861215	1895.9226707794762	764.3380655941456	1978.060369755016	331.8974493796217	135.5282175759916	341.48502830227534	286.1417208277929	764.1072162500237	525.1318220500707	432.908583924493	1775.6194047438587	390.67383957392775	381.79625995617977	210.1276168981063	577.7802477611529	278.64539568156505	328.0573090874388	187.5378047536729	305.1457295746349	289.80024946046274	189.08491996251672	902.160683836989	3417.2872178148264	2022.5838058454476	634.4023308055828	1074.0019929010525	2794.2107107156535	1055.447625845331	2303.985153518545	239.80196929734282	2111.2697737847525	1615.3650604630814	3583.465108370896	1063.5653436497018	2027.8648655232332	1517.703889627363	1290.0303758946247	1799.8764956283803	1256.4618675756378	1029.835617743639	6250.490648955954	1686.5691634533769	296.72676288504147	158.1046362686914	3231.5047621691597	3306.9058097649727	2037.4733119648208	1048.5363523792676
PWY-622	83.91136269599403	47.97330282137319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.5680383651178	203.55467823689634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.99384747516492	0.0	0.0	179.67506330498796	0.0	167.80482964280208	0.0	1463.8514574195167	688.3094080134202	95.89371543849438	179.73641216554944	1171.3849547154664	512.3581570654883	299.0198246598066	345.87085822244586	394.02300951067554	47.901813486921725	452.63895619119324	948.1914478101376	513.4747237219118	167.65337211203718
PWY-6263	57818.068821885034	101809.571297416	62751.09115945668	74449.59655784494	49292.35062512988	96270.69059238241	59464.355446115456	80169.23758742854	71776.26979166434	61578.74957329897	85563.68190002147	68677.7521367831	68131.9479140772	75369.96074674836	56890.271811556944	50886.756663879285	34682.57329893585	49562.329708428144	39319.16299731899	23275.518858035608	80722.41565200005	64462.83510408446	50681.28196750668	155547.95224119673	93725.62585299116	64088.61139304197	93795.65785813106	90998.11574873416	43368.759243320346	43491.23609838569	82636.14129127446	44844.62222189328	63905.49427100855	64494.832086652925	105608.9651187011	76533.19572004779	69374.29986355644	72828.7442915135	61858.93799548586	65213.068121379874	70662.63987788088	58816.0706974544	74622.36147873309	78883.24790930476	95556.41298020432	30470.11438901652	51786.01145737146	78957.70444134438	88313.19966440625	64459.9332851798
PWY-6269	64669.56992293803	92220.67326419489	68087.56275522879	74638.12067529564	72784.15581359479	124824.28730798529	85679.46245979967	113857.11270967613	99967.1029806291	85729.041240109	123194.293447462	81631.87311886412	63116.94324672733	102902.5448594702	102311.9706519631	71869.94518444527	54819.27282918567	79016.37971567892	74363.52245612766	62291.719690083875	116856.68178015106	100176.29084027254	75013.28105093753	326649.05508504825	89638.2600222764	60620.666556995	98379.13437604634	105475.59693265562	64341.764581151685	60686.74867206504	90723.60993060931	54643.590806089385	71706.18244763384	75111.14209883905	160144.87609123916	132770.294651195	69518.33132208923	73326.28694523167	78826.7432385574	80370.48965460788	70191.4640723709	66778.6281922198	76362.70664812102	76003.44259526399	107331.61693558929	38085.478472735274	46291.64278854982	75927.85943989432	89164.89988016537	70925.21550785618
PWY-6277	187426.91334243756	226554.15345343883	160029.03346998137	169882.01167936344	178409.82526184877	234724.19809099555	172103.11789566308	208893.2953776108	193182.2109312312	177818.41597327488	234042.06717962382	160037.11370771722	152316.34603571694	191175.47015717326	207339.56847436578	142510.5476277397	122503.64583946463	163216.14696921664	134094.4731465089	110021.1863416663	221973.64982233077	189872.2394863457	137647.27162874266	607809.825353481	224590.4857279287	138268.28796130605	203236.48527039398	209410.52130782194	178426.97656775013	150389.21359637094	213396.07691087472	104185.58254478923	180006.05173641953	164049.09292068842	310718.4030538806	249368.09134957855	200414.4272710803	188063.2207511681	170673.1620504485	216842.57922852406	185423.69971591324	165569.4745884052	193687.58420979852	185534.0276123319	232308.3100996431	72472.75976774488	138642.72741628299	196462.00716943888	217890.4291916575	162299.0919136664
PWY-6282	112778.37977154859	114719.97845413076	89819.58059672538	83722.96644731313	133311.6280952722	79215.108582771	63903.37517495829	46768.228156041165	43757.57818001301	91618.13662489643	91958.55364702918	43335.19224315525	78476.56397230117	66815.58668054211	141274.02790083605	50338.52084359926	76613.83218874797	70520.85818250543	44558.06510414913	50395.32481651429	67300.75368684717	70788.35859867332	48340.11142211499	372583.83092916966	114470.11547647	62658.77894109469	71026.77808551946	67622.13021042479	142538.77665734914	101606.8396698838	131159.98690536828	44730.07414337851	111521.52733173492	93328.18390221162	175737.87572492438	119942.67154545904	117342.73092680717	97677.54880677746	96529.18907308111	158686.57990183102	105785.99758788035	92045.47953431918	122121.8846532332	84169.69616891895	99698.98943125742	22348.258376262056	80265.71510217768	106411.97652229607	122436.64510035959	84397.03791309637
PWY-6317	70653.86005149136	81375.69704247247	56229.908146048045	66390.3936199052	106686.5209797728	93474.25619323624	87027.11088481525	72046.80563696471	69874.00551175447	84310.57971123524	105072.95659963512	59222.658711638716	65705.16934685776	74247.57569138518	122727.8979361882	65952.76085695295	77300.02758322473	85773.05854313319	60452.787496916186	57798.005398514215	97129.46244793668	93563.23784468202	59728.78257370018	302414.11181422503	81797.470026578	49272.75076646519	80377.94089439575	73668.25659449266	111089.23237096512	82406.98578155805	99570.29297273584	48805.217885436	86977.90069330025	64438.20991145448	113413.75876010161	98525.5735991727	87504.25268173638	76710.66986353758	89880.76336591323	120852.8752720164	89890.17051718674	78152.10909840435	85367.35310179376	68729.37260436932	94299.86235274088	28367.211737023117	63698.84069257714	78533.19180294227	109354.460303685	85312.27717384601
PWY-6338	1121.846543256608	377.6210615720717	280.919187996488	155.16860928752365	689.0198484120948	107.37658704882317	84.60488064952499	66.2561441268291	140.23646334121844	688.1420296566398	382.8839212934387	86.04314649093054	558.9519073027094	169.09754450643058	459.97276486929707	67.86792506525165	160.0270309457777	56.25057019068527	57.290290318834195	62.84907251107615	96.12285312078684	190.14191572370717	111.40726585053085	818.8168034520603	1009.7272273321553	325.62572202770997	280.3103073242992	319.64853496227846	557.247290668527	359.47671896690747	604.7324917419242	60.630273055633886	666.7898289152657	790.5803718524339	4397.247573826315	1306.6695935996008	270.9768792115153	176.6788168831252	251.02390050920408	363.5071518080605	123.68136960423602	275.8055469070673	618.0725993726077	68.5128841603456	343.4387319609344	77.165113098169	424.7061679006926	557.595507457921	238.37847220963104	167.17470001214141
PWY-6339	1844.5942948870552	623.719320716426	478.84658425221426	270.2333025005958	1462.9626553962305	198.91983416942566	192.41216963577074	145.77492261092104	259.3048990099719	1158.1219934224728	637.063297193671	258.77694279991533	1375.2299957649868	942.157271322717	2685.8059038450274	133.13374951401389	302.84438035326036	122.8461817692962	106.00704467721984	126.42366282213334	193.71401130350424	348.25595813802136	1573.8505578506179	5532.9414748342515	1633.2052857207982	559.1970693124068	630.0967169272772	583.192332157	1053.874168707676	630.8946875975954	3198.8115386508075	104.67565709740212	1114.7354396751293	1744.6818349017783	9582.15474487014	3976.0937125876253	705.2405661477092	333.002281675035	557.7796478732376	1103.5458536346223	381.1543583259384	488.6662053604898	1284.563999557447	130.8016416059639	627.6385960921214	140.87240731287528	746.2690374452208	936.4248175829175	449.3739314827075	416.8550954718346
PWY-6349	217.59602238203624	1755.4689480949028	1070.346803816264	1520.6773649212748	512.8834689946964	9651.58726205327	8911.398697306831	12813.473814715398	13001.399244391825	3471.191819199151	6705.833545227697	5869.060162502739	1100.4355982695265	7553.929373102872	4894.579481354033	4786.497568361931	807.1837533484687	6108.194885928439	5431.406418833829	13640.330379245464	8178.842998048842	6054.639205246299	5134.233661145979	20149.106060939244	973.8638557769214	1789.0039621760382	3724.921562152672	5074.576256236169	119.3845110088542	182.44697591638638	1251.0648920581145	2931.73953177156	501.45451751635045	1579.7193998530045	11812.436992951078	17444.83172616639	565.7106880886726	2295.0723303599707	2397.50330487744	237.58657897655695	1128.850625196591	2261.2171726740926	836.4122549675628	2805.936259237537	5241.935615783991	2403.718271553114	324.7771334207789	1755.9879694993906	1346.9193891882292	1766.9689118519095
