""	"observed"	"chao1"	"diversity_inverse_simpson"	"diversity_gini_simpson"	"diversity_shannon"	"diversity_fisher"	"diversity_coverage"	"evenness_camargo"	"evenness_pielou"	"evenness_simpson"	"evenness_evar"	"evenness_bulla"	"dominance_dbp"	"dominance_dmn"	"dominance_absolute"	"dominance_relative"	"dominance_simpson"	"dominance_core_abundance"	"dominance_gini"	"rarity_log_modulo_skewness"	"rarity_low_abundance"	"rarity_rare_abundance"
"S3A1522"	1235	1235	94.1334025611609	0.989376778350806	5.65793317055452	238.410512976302	45	0.58481367667439	0.794784557538537	0.0762213785920331	0.353305879094716	0.394391071676778	0.0428208597403214	0.0821049633269244	1804	0.0428208597403214	0.0106232216491938	0.297443566189561	0.959335203499393	2.06142303617716	0.389019440290536	0.641078591943792
"S3A3040"	1284	1284	163.689921683036	0.993890888396071	6.10059915311197	297.456188107428	79	0.672364044302714	0.85230855017427	0.127484362681492	0.450230392894937	0.475095599136595	0.0341033102946526	0.0670243724990906	750	0.0341033102946526	0.0061091116039286	0.226582393597672	0.942768355717135	2.06142303617716	0.47971989814478	0.692251727901055
"S3A6070"	524	524	74.7884451738048	0.986628950532719	5.17471263862815	107.217024194964	35	0.828297432368165	0.826434482311265	0.142726040408024	0.363509239913556	0.448697365377211	0.0597490963214969	0.10666950173648	843	0.0597490963214969	0.0133710494672813	0.372599050251612	0.978774481767644	2.06142303617716	0.24778510170813	0.589765397972925
"S3B2030"	2702	2702	209.830162119099	0.995234240921797	6.61123262829263	525.502181907959	127	0.538020174131925	0.836679812003257	0.0776573508952995	0.395097502206623	0.445220793432603	0.0302989601871439	0.0590645042140962	2707	0.0302989601871439	0.00476575907820346	0.215103589536953	0.893753288195569	2.06142228859772	0.581220688806062	0.662279081741155
"S3B3545"	2589	2589	162.600443331565	0.993849955267583	6.46040137135938	492.260402826518	103	0.509587365109676	0.822035779747842	0.0628043427313887	0.386922909857408	0.434852868220511	0.0368671910661019	0.0719616148105687	3473	0.0368671910661019	0.00615004473241723	0.26918463318578	0.903133274517415	2.06142222187874	0.532488349627931	0.621158561829241
"S3B6070"	3529	3529	27.0554818408427	0.963038913670707	5.8232987908223	499.717953319416	51	0.603514033178846	0.712873408912176	0.00766661429323964	0.257792737892614	0.347733627625513	0.18207535833834	0.210042056475839	106068	0.18207535833834	0.0369610863292928	0.175088833576517	0.912473307281289	2.06139063949008	0.479527937516093	0.576343661488284
"S4B07"	2697	2697	232.455820596792	0.995698107290096	6.70301676929577	525.869602171016	150	0.793138074519079	0.848494378104205	0.0861905156087476	0.415478418094896	0.474565283664694	0.0243894146313821	0.0480761602538675	2152	0.0243894146313821	0.0043018927099036	0.159063863546212	0.88475178782079	2.06142303617716	0.607298690995637	0.677792259307531
"S4B1522"	2730	2730	262.901091805055	0.996196288143446	6.73686260353681	577.747846403507	150	0.745360957445891	0.851467917729713	0.0963007662289579	0.422912068255695	0.463773666097046	0.0224569446165283	0.0441704869285095	1450	0.0224569446165283	0.00380371185655446	0.176093420889605	0.885244850493734	2.06142303617716	0.612346673274687	0.693238136538223
"S4B3040"	3225	3225	280.568466083734	0.99643580758038	6.91079523286386	672.169154468873	187	0.591885867597145	0.855435317810582	0.0869979739794524	0.418877997760348	0.471747094792324	0.0269076603325416	0.0528750989707047	2175	0.0269076603325416	0.0035641924196198	0.19931462787015	0.862392453317852	2.06142290506381	0.646513756927949	0.68721545922407
"S4B5565"	3432	3432	300.268475558959	0.996669647061223	7.04647406910978	764.035482638824	230	0.590785249931411	0.865564667488021	0.0874908145568062	0.462152713902744	0.492595260094759	0.0249629410020753	0.0487992884672398	1684	0.0249629410020753	0.00333035293877744	0.177245775274237	0.841583435934922	2.06142303617716	0.691847020456567	0.688007708271568
"S5A07"	2067	2067	57.9352045627188	0.982739337721377	5.59420424378541	343.66045928146	31	0.595094571408635	0.732815242007159	0.0280286427492592	0.303671608950926	0.346190366695591	0.073126416142961	0.141671298077608	10263	0.073126416142961	0.0172606622786225	0.445726989012868	0.947728754404153	2.06140925700001	0.411133911903439	0.464017499608111
"S5A1522"	2354	2354	76.7730528354641	0.986974596384188	5.92862634453108	425.989825249216	46	0.675048690290569	0.763617288946015	0.0326138712130264	0.357963628249754	0.380618639361282	0.0600369775975824	0.118609867575152	6397	0.0600369775975824	0.0130254036158123	0.376101585156404	0.929326650841688	2.06141988848913	0.470516466293137	0.503026719599065
"S5A3040"	2923	2923	118.611519290219	0.991569115664447	6.3771469713653	563.52339295305	91	0.67412745585057	0.799104597341273	0.040578692880677	0.381254275610798	0.409425677780979	0.0494270412590133	0.0961912455494719	4956	0.0494270412590133	0.00843088433555259	0.316618296781657	0.900274346771425	2.06142178350361	0.538571243355374	0.574075736269435
"S5A5565"	2306	2306	171.172477802631	0.994157939332087	6.33316629539368	437.613577524664	89	0.608743864431685	0.81789302711691	0.0742291751095538	0.354058886249643	0.41708454105698	0.0310409229532613	0.0606751932669803	2626	0.0310409229532613	0.00584206066791322	0.254462280432162	0.919458606893159	2.06142200961144	0.515496820255798	0.629908508475378
"S5B07"	2422	2422	122.397085123311	0.991829870793144	6.33270293481119	494.714172262943	89	0.709714275954881	0.812682157393512	0.050535542990632	0.431446193851124	0.44267946441693	0.0457819948521909	0.0895536027048843	3006	0.0457819948521909	0.00817012920685599	0.299029835970697	0.906354260510284	2.06142210564408	0.54300248252334	0.573843646720176
"S5B1522"	3212	3212	191.75462393191	0.994785001897242	6.73129684518745	703.057941199684	142	0.674843162289063	0.833633360733004	0.0596994470522758	0.456740825080834	0.457844671070686	0.034884240969603	0.0656092070543687	2340	0.034884240969603	0.00521499810275809	0.236184200718556	0.867458897950826	2.06142290400011	0.611577393819228	0.623935956111451
"S5B3040"	4462	4462	434.938072429039	0.997700822109191	7.25278606064014	910.80543284533	253	0.6173484820468	0.863082462449592	0.0974760359545135	0.431163014799727	0.470731589640503	0.0150320761251381	0.0300064317166087	1823	0.0150320761251381	0.00229917789080916	0.124346521100978	0.807571362170393	2.06142303617716	0.697387733562017	0.753953856556228
