# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
K00405	61983.9	46102.850000000006	42416.05	26737.089999999997	42962.41	17314.670000000002	10004.5	7523.29	7267.54	26827.9	19545.489999999998	8991.44	24810.809999999998	18133.160000000003	54807.04	8223.39	14817.87	11446.36	7671.8	8743.560000000001	10279.29	10010.720000000001	13487.970000000001	117960.09999999999	61711.75	25346.32	17716.32	20143.29	47199.939999999995	38548.56	47200.08	8451.02	45383.48	40038.409999999996	77303.56	38314.009999999995	50327.11	36076.41	26108.25	55225.630000000005	36045.84	29777.52	47974.74	30576.05	29966.82	4639.16	29394.6	40474.96	33045.26	19254.260000000002
K00406	66389.06999999999	49992.76	43661.97	32899.09	58253.25	26701.84	19393.67	15368.619999999999	15672.869999999999	38739.16	32312.41	16811.269999999997	30771.309999999998	24837.66	63490.380000000005	15769.22	24390.71	20781.53	13700.130000000001	16417.22	21489.620000000003	20045.3	20235.55	144189.36	68254.92	30019.82	27030.08	27453.39	63266.77	48249.64	56677.42	14026.85	55832.15	47141.57	90109.47	46629.92	63404.94	46962.66	39598.92	75232.79000000001	51238.92	41470.44	56115.73	39734.3	44143.16	7849.66	37580.93	52163.87	48181.09	30409.760000000002
K00407	47473.1	35638.95	33081.75	23504.79	36313.41	16659.77	9906.0	7191.79	6818.64	22935.0	17859.39	8038.9400000000005	20209.61	16799.660000000003	52243.44	8069.39	13251.970000000001	11360.36	7039.8	8722.060000000001	10108.29	9900.720000000001	12845.470000000001	113788.19999999998	49219.75	21535.120000000003	15973.02	17241.190000000002	36998.14	32661.46	40034.28	8081.52	37101.58	34594.21	67623.96	34129.61	41434.11	31565.41	24630.25	45951.130000000005	31406.84	26032.02	36618.24	27564.05	28674.32	4326.46	22362.6	33987.96	30419.760000000002	17800.260000000002
K00410	1978.0	1980.0	1494.5	1601.0	4783.0	2077.0	2446.0	1404.0	1269.5	2877.0	3415.5	1170.5	1870.5	1175.0	1851.5	1715.0	2886.0	2319.0	1524.0	2646.0	2401.0	2456.0	1420.0	6241.5	2223.5	1415.0	2088.0	1680.5	4552.0	3234.5	3975.5	1479.0	3175.0	2219.5	2268.0	1664.0	4733.0	5503.0	4151.0	7304.0	4311.5	3376.0	3574.0	3646.5	5221.5	860.5	2089.5	2821.5	4734.5	3452.0
K00411	63933.81999999999	49366.490000000005	43906.3	26665.670000000002	43351.77	14160.01	8853.3	7912.04	6728.6	26265.370000000003	18819.09	9050.939999999999	25382.68	16471.24	50187.2	7180.2699999999995	13843.32	10111.61	7038.22	8174.57	8907.67	8950.83	12667.07	108430.76000000001	69835.3	27988.08	17463.5	21522.16	47754.409999999996	39493.09	48927.520000000004	7558.18	48372.5	42205.93	77190.68000000001	33716.7	51256.58	36641.0	27173.57	52645.42999999999	33683.85	30561.26	53554.159999999996	33337.479999999996	30177.809999999998	4559.91	32065.129999999997	41764.94	34335.69	19615.32
K00412	64731.73999999999	50904.990000000005	43796.3	27246.420000000002	40973.939999999995	14138.34	8366.97	7769.21	7045.93	26469.79	18412.09	8891.939999999999	24816.010000000002	16543.99	49607.119999999995	7007.85	12877.49	9649.28	6598.47	7503.9	8769.0	8691.83	12479.57	106545.43000000002	64388.55	26131.83	17239.92	20212.33	46397.159999999996	38768.34	46791.44	7692.51	45969.420000000006	40345.68	73359.93000000001	32385.78	51997.58	37598.5	25566.24	51644.67999999999	34818.68	31446.09	49963.41	34408.229999999996	31684.390000000003	4575.91	31143.879999999997	41164.94	33484.61	19060.32
K00413	59117.95	43394.130000000005	40293.65	24104.42	34829.0	11556.34	6107.58	6050.6900000000005	5072.52	22014.78	14388.79	7280.219999999999	21341.239999999998	14805.0	47670.11	5165.4400000000005	10277.02	7518.51	5182.57	5528.780000000001	6217.1	6182.32	10939.94	101347.22	57710.75	23008.87	13892.2	17353.52	41132.799999999996	34360.78	41427.71000000001	5847.64	40406.36	36131.33	68297.69	30297.42	39939.89	26613.79	20266.0	38964.06	25190.92	24512.01	41200.119999999995	25530.65	22805.12	3341.58	25622.05	33815.979999999996	26193.300000000003	14299.380000000001
K00423	108.5	65.0	149.0	22.0	89.25	103.25	5.0	22.75	13.0	126.75	64.75	9.0	105.5	512.25	1281.5	8.0	17.0	6.0	0.5	0.0	0.0	32.0	168.25	3204.5	17.75	34.5	67.75	50.75	115.5	65.0	240.0	126.0	16.0	300.0	2458.75	2203.25	0.0	2.0	7.0	11.0	0.0	4.0	4.5	3.0	8.0	5.0	6.0	19.5	1.75	7.5
K00425	119063.58	125205.73	94058.42000000001	95354.51	148077.91	92140.14000000001	82364.97	65033.11000000001	58755.33	104029.81	111094.24	58401.69	87423.92	73027.63	137051.62	62104.75	96449.23	93003.25	55525.92	55484.69	86919.39	87354.37	59502.36	376929.36	134676.65000000002	74998.17	96558.09	92288.66	156633.39	119757.72999999998	153144.89	59193.24	127028.45999999999	106044.59999999999	158970.89	113188.56	125754.22	98204.67000000001	107413.26000000001	166243.01	117167.78	98278.85	127446.76999999999	91224.22	110072.08	28070.97	88995.89	109795.65	138145.01	102126.51000000001
K00426	124115.91	130109.23	97203.92000000001	99752.01000000001	161806.41	98179.64000000001	90016.97	69937.28	62973.33	112201.81	120210.41	62100.36	92555.42	77169.95999999999	142981.62	67920.25	105255.9	102436.58	60251.59	62512.36	94852.89000000001	94893.87	64006.69	398103.03	140219.15000000002	78299.67	102571.42	97196.49	169708.72	128063.22999999998	163074.39	63706.24	136127.46	111450.59999999999	164708.38999999998	118471.23	132185.72	102851.17000000001	116743.76000000001	179706.01	125599.45	104857.68000000001	133325.59999999998	94961.22	116616.91	30108.97	93695.39	114432.65	148550.00999999998	110401.51000000001
