id,(Intercept),Depths16-30,Depths31-45,Depths50-75
P161-PWY,0.05577118269344854,0.07978323740742001,0.07611888553428366,0.08148535473792556
P162-PWY,0.05161411671612023,0.06003665132533443,0.0668931094287038,0.0800303795537153
P163-PWY,0.19991127366008726,0.2931962591218853,0.2633091084071003,0.3245443310285774
P164-PWY,0.031705454341505235,0.03905047699763675,0.04085278562644567,0.03544570095459818
P184-PWY,0.17294381803261435,0.28643091230811973,0.3060052768875818,0.3325291161560941
P221-PWY,0.07504143825983628,0.1071330283596645,0.09030748601311722,0.11223950622543223
P23-PWY,0.027304673772592363,0.0312562266636325,0.03396208362708563,0.038154460090041774
P241-PWY,0.25936024840317023,0.3433160853191765,0.2818415310014329,0.3023939341954251
P261-PWY,0.1928079675388329,0.21291817383234685,0.21606444343915185,0.21059156029418077
P281-PWY,0.062097695117506575,0.08484129708410504,0.07627800393318962,0.09400377760116256
P341-PWY,0.5597496251787585,0.6348491814878978,0.6149973771213672,0.6102616593894389
P381-PWY,0.03621825136491612,0.04705337414983677,0.049128054491353414,0.055215557121328446
P4-PWY,0.02269843155283961,0.03237259876376073,0.03648376061282593,0.03627095327591961
P42-PWY,0.06844441186858558,0.09351376287225528,0.08291675811194944,0.08312493543970204
P441-PWY,0.06180912871312563,0.08778590631587484,0.08809354254490682,0.09034012144193761
P461-PWY,0.07999261398489206,0.11121381105395639,0.10760661733650652,0.10371364537563198
P562-PWY,0.05724421301745227,0.0754217104630777,0.07092508171931325,0.08219691521461935
P621-PWY,0.05704204526847699,0.08426012078087165,0.0954976164020347,0.08655540828942776
PANTO-PWY,0.05237080031559565,0.07475281201374116,0.06572793237358392,0.06836529289724559
PANTOSYN-PWY,0.05150212455966863,0.07405004154455366,0.06580225466571088,0.0671114659495389
PENTOSE-P-PWY,0.021019991134531332,0.029147895154612177,0.0353751115449311,0.03371735609437754
PEPTIDOGLYCANSYN-PWY,0.03225172080150114,0.0432131460475183,0.045959845172681264,0.04766610050680016
PHOSLIPSYN-PWY,0.048101924819128124,0.06900186700873638,0.06256839656911724,0.062022185185898034
POLYAMINSYN3-PWY,0.04230541842964671,0.05654648668586206,0.05911108835311691,0.07522318054899836
POLYAMSYN-PWY,0.03626250910582348,0.04802880156155489,0.0463605148661031,0.043788667533018126
POLYISOPRENSYN-PWY,0.04537130451242449,0.0627256008351294,0.05804901944958065,0.05787175935038994
PPGPPMET-PWY,0.04379887106402477,0.06123106450802321,0.06609283779818378,0.08723040353278752
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.043737676122981954,0.054962834346781786,0.05459700890400978,0.0720195403871293
PRPP-PWY,0.029372827188235556,0.04560117765507005,0.041632827851718346,0.03830502136680457
PWY-1269,0.04757272127511268,0.05792809209203509,0.05543305038689837,0.06595899461008915
PWY-1361,0.14797285516148773,0.2543151252744471,0.26740847518179633,0.2441960674709496
PWY-1501,0.08323076557949548,0.11626085662230383,0.13194567404771987,0.10955653627578428
PWY-1541,0.5896358641433205,0.7574069069953147,0.7195927779653728,0.6780985898264825
PWY-1622,0.1324688371669782,0.17902141680601852,0.16568758422641316,0.14608348979592706
PWY-181,0.09018056917410744,0.13415367963175004,0.12501417318706684,0.10161503435795126
PWY-1861,0.08738772678143107,0.1383258087036995,0.1188891544831926,0.12280783648110043
PWY-1882,0.10149305912702883,0.1435909659897689,0.16817757756240428,0.15766345210835764
PWY-2941,0.1036772266929195,0.16117486848915993,0.16270660553841143,0.1360190254151326
PWY-2942,0.04175360181542775,0.06232724391131055,0.05514551376744338,0.05485032352946837
PWY-3001,0.05031857618245426,0.07188390099670067,0.06361107433365337,0.06385393736376625
PWY-3081,0.2325111444727667,0.31865702786771655,0.34265495630227916,0.5482956018940558
PWY-3661,0.2244983584070495,0.3460796808673783,0.37323875845716675,0.3260775322068139
PWY-3781,0.049527629833395544,0.058721921392323816,0.05741125832938346,0.06777883625781062
PWY-3801,0.16280057656810465,0.2539091729357875,0.2578007330223148,0.20448889170894308
PWY-3941,0.32610710637548174,0.4864996639996926,0.45792036399801067,0.4380886787097215
PWY-4361,0.30645049427719107,0.46214090411195846,0.5229663517706763,0.48976381768937605
PWY-4722,0.6516456263247452,0.8722694035598254,1.0312057543242275,0.902114978969681
PWY-4984,0.055080777056815335,0.0805231601699864,0.08535655469712546,0.08934577899171788
PWY-5005,0.14155313714880197,0.17498959387812058,0.15199838604917001,0.17377518848134269
PWY-5022,0.03824876322139097,0.05127485862846984,0.057399654222445695,0.07126002887370382
PWY-5028,0.047621055314784264,0.06792603744848705,0.068063884744374,0.07616798196608365
PWY-5088,0.09149639896276991,0.11711636284047694,0.1294473877008999,0.12978216923483585
PWY-5097,0.04310178014623405,0.0634862666396848,0.05612812391362204,0.05612068929398724
PWY-5100,0.0322420136156334,0.045848655385846114,0.0460570761401339,0.04079763753005503
PWY-5101,0.05081939889968425,0.07382556716456305,0.06430459797928889,0.06535465488652027
PWY-5103,0.05021851869899524,0.07335671939439176,0.06413038629242235,0.06514010192530632
PWY-5104,0.06221176287220175,0.08588115156550068,0.07527767797083915,0.07545692069217647
PWY-5121,0.04596611425145184,0.06364421542189533,0.05963670493238949,0.059119116598481465
PWY-5154,0.029024660568450714,0.04151161758179944,0.040949400132568994,0.041547214545981224
PWY-5177,0.08026637713347673,0.0896396614830973,0.098847505558568,0.1189259878048195
PWY-5178,0.09459345027179085,0.17316817556328837,0.1677763009785668,0.1953695629857511
PWY-5180,0.10242211953618263,0.14565900718441677,0.1336856059443642,0.13844280435419665
PWY-5181,0.04654945820191095,0.06988507362224551,0.0643776114600259,0.118083286509226
PWY-5182,0.10242211953618263,0.14565900718441677,0.1336856059443642,0.13844280435419665
PWY-5183,0.10907432663460782,0.21430624102437493,0.22403955700480566,0.25681722461730755
PWY-5184,0.4149935004015467,0.6001671948403732,0.6293623913324209,0.5284215154908469
PWY-5188,0.05291653936822306,0.06690328606968698,0.06158592344177358,0.06680598373784877
PWY-5189,0.051958713661143845,0.06359505922924591,0.06070671785371581,0.0676594000507557
PWY-5198,0.4065356716853262,0.598081290218516,0.5950860431438142,0.7086652537276654
PWY-5265,0.14769728074754532,0.25935418143139577,0.26732612386429633,0.20052307785401113
PWY-5266,1.1704103849035343,1.7077928181440092,1.6889372280904207,1.5998473261039459
PWY-5273,1.1704103849035343,1.7077928181440092,1.6889372280904207,1.5998473261039459
PWY-5304,0.16623640485466323,0.1898103025279648,0.1794628791961521,0.20425263184429718
PWY-5345,0.02960338355839811,0.03600523885275708,0.03817891392783403,0.035394119774745325
PWY-5347,0.029846473291619307,0.04635396712776108,0.05226350701222215,0.050350236759793145
PWY-5384,0.061829284978496164,0.08849806283741438,0.0776120130150795,0.09469920926330465
PWY-5392,0.4800516274309148,0.5948946719780673,0.6794777555260607,0.7797022903176999
PWY-5415,0.1099224310896956,0.15328715528052295,0.14585408236147462,0.14424537608200147
PWY-5417,0.07320977784799763,0.11117014964364051,0.10757138863080158,0.17767197984573946
PWY-5419,0.1734650727462175,0.2535047577892807,0.24133569942821073,0.21983361867260262
PWY-5420,0.1578243238697905,0.22952010442130993,0.2193029006287148,0.20087255797273837
PWY-5430,0.11601131632740047,0.20512825363396955,0.20109911047554668,0.2320116047175685
PWY-5431,0.07320977784799763,0.11117014964364051,0.10757138863080158,0.17767197984573946
PWY-5484,0.04501472456809149,0.06934538816301085,0.06107174025549084,0.061274450381589275
PWY-5505,0.024568325915236864,0.04680794274575055,0.04985033806124994,0.04336222284971936
PWY-5507,0.042011557394020044,0.05915836283099154,0.06164176796339375,0.062957058086873
PWY-5509,0.07526692872570374,0.10823940931077686,0.09366545694077325,0.09080919754456113
PWY-5529,0.09507585746997635,0.12351224639649987,0.1268388837984902,0.12600428354998108
PWY-5531,0.22460024517766497,0.34518989440005027,0.2776228724506058,0.25422640748120884
PWY-5532,0.4513692897904992,0.5502507624068614,0.4718852127767167,0.47463917264530187
PWY-5647,0.17224304509566696,0.2688204396898984,0.2652863438585636,0.22239260897150592
PWY-5651,0.14041170629609226,0.23798555260658885,0.22785920371440008,0.19121491071727
PWY-5654,0.1919024356649245,0.28836289314740593,0.28965255175952886,0.24479819931899477
PWY-5655,0.15611986969012864,0.24439538252572449,0.2488364820622465,0.20393718803386915
PWY-5656,0.46853071590186574,0.6441159836435112,0.5523995197412843,0.5751665673501697
PWY-5659,0.04715787276572502,0.07159379020839315,0.06573676394978215,0.06414768300349036
PWY-5667,0.045818261492852154,0.06734844795724819,0.0607455715355037,0.05956975936348182
PWY-5676,0.058184891242635296,0.08642916955514776,0.07689052591602638,0.08815327530571092
PWY-5677,0.05588910629586531,0.07559019414956845,0.08140395465802097,0.08891720418773455
PWY-5686,0.04700432328502612,0.07010591575209105,0.06286782705472325,0.06138651901398506
PWY-5695,0.03538122489928261,0.05302789054906052,0.05359288143805172,0.05086514764957621
PWY-5705,0.06932754177221521,0.09058034397698814,0.09179909250572196,0.09342323285606444
PWY-5741,0.21206657118520778,0.35871494925710967,0.3145934576344074,0.26585867048307615
PWY-5747,0.05573926867799839,0.07446339218081936,0.07303190009845249,0.09488836934753225
PWY-5837,0.07586375434333638,0.10339600075394093,0.10407631878170572,0.09898715472092019
PWY-5838,0.053865695217657175,0.08096858136995679,0.08236761956822261,0.06997119364724225
PWY-5840,0.054932142087376575,0.08194706599794274,0.08302845032117499,0.07092822653019061
PWY-5845,0.060407786648696025,0.08643886466731587,0.08324360278070295,0.08548662777673961
PWY-5850,0.060407786648696025,0.08643886466731587,0.08324360278070295,0.08548662777673961
PWY-5855,0.03618037387127063,0.045712311764983665,0.052217726233563,0.04975743486179084
PWY-5856,0.03618037387127063,0.045712311764983665,0.052217726233563,0.04975743486179084
PWY-5857,0.03618037387127063,0.045712311764983665,0.052217726233563,0.04975743486179084
PWY-5860,0.07127293063841254,0.09786622900701038,0.09374390908258572,0.09820071490206174
PWY-5861,0.06454468323436895,0.09229353091894298,0.09355304859078413,0.08234237556025165
PWY-5862,0.07127293063841254,0.09786622900701038,0.09374390908258572,0.09820071490206174
PWY-5863,0.07208871760790661,0.09908660043772496,0.10016440172371228,0.09458147635220962
PWY-5896,0.060407786648696025,0.08643886466731587,0.08324360278070295,0.08548662777673961
PWY-5897,0.05585292752397892,0.08279546000262347,0.08448752752222614,0.07271947308808926
PWY-5898,0.05585292752397892,0.08279546000262347,0.08448752752222614,0.07271947308808926
PWY-5899,0.05585292752397892,0.08279546000262347,0.08448752752222614,0.07271947308808926
PWY-5910,0.06476027336674643,0.09542033380483628,0.10692224862533692,0.08272309758444527
PWY-5913,0.029658076684860563,0.042772281656744085,0.042022584312923404,0.04763065577011392
PWY-5918,0.039074922142779425,0.04376174129831708,0.04627354104752365,0.04750541628742822
PWY-5920,0.033289234604779186,0.04179013608461331,0.04496025756789018,0.04718841811621934
PWY-5941,0.06789339261321778,0.12757493240287307,0.12965066265332506,0.14218321810814724
PWY-5971,0.03117295771155147,0.0396318290056186,0.039954477106451884,0.04998303661127494
PWY-5973,0.027553001343480613,0.038438141034999616,0.03889239160636452,0.03983035571683486
PWY-5989,0.03788808869614941,0.04913173630342601,0.05011137643392701,0.06401125673702815
PWY-6071,0.0701561786755548,0.11467817948510657,0.09475004646714176,0.13445542761630658
PWY-6107,0.08785595592141444,0.13573735268354029,0.12513308821319155,0.13581555176859358
PWY-6121,0.0460543657320669,0.06842407978724899,0.06134203435983588,0.06140660909837301
PWY-6122,0.04944516810322214,0.07339790679883912,0.06564847316778813,0.06446309200363035
PWY-6123,0.051339863368369376,0.07494288804413848,0.0666035320600582,0.06567888094175116
PWY-6125,0.05510569387842853,0.0781958074990544,0.07009308250880888,0.06988963278819764
PWY-6126,0.05452915224103387,0.07847442940094045,0.06974102385750623,0.0692120670899127
PWY-6143,0.20663691423649524,0.261184897811094,0.3375903007322969,0.35511187547606393
PWY-6147,0.03177751613440056,0.03688524865808801,0.03936375949347745,0.038226331448998334
PWY-6148,0.6496932637608664,0.8153645060548477,0.7028304612251468,0.6857705537009129
PWY-6151,0.053945757210010326,0.0811967819493355,0.07212654934871639,0.08009797795665444
PWY-6163,0.04476380082723266,0.06728346579211608,0.05933188604980171,0.059230717045933065
PWY-6165,0.3873755787822126,0.4954303892610895,0.44086373874472257,0.4346385982072212
PWY-6167,0.5408465550634224,0.6846981836624956,0.6477908213290844,0.8602433700814582
PWY-6174,0.2932479613831622,0.3840667271176757,0.31548522405660184,0.3293167416192284
PWY-6182,0.07006637394878673,0.10558429294928295,0.10230193310200196,0.1646822042762571
PWY-6185,0.07103908664939336,0.10630371749907612,0.10509738996997563,0.1786272642640382
